GENESIS-Tabelle: 12411-0007
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;
Nationalität, Geschlecht/Familienstand;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Deutschland;;;;;
Bevölkerungsstand (Anzahl);;;;;
;;Deutsche;Deutsche;Ausländer;Ausländer
;;männlich;weiblich;männlich;weiblich
31.12.2008;6-Jährige;348863;331170;21244;20087
31.12.2008;7-Jährige;356416;338402;22318;21121
31.12.2008;8-Jährige;370453;354253;24087;23138
31.12.2008;9-Jährige;359237;339353;38745;37149
31.12.2008;10-Jährige;365717;347149;39971;38143
31.12.2008;11-Jährige;377396;358049;41608;39706
31.12.2008;12-Jährige;371672;351637;40577;38982
31.12.2008;13-Jährige;360191;341562;39286;37941
31.12.2008;14-Jährige;364583;345019;40801;38947
31.12.2008;15-Jährige;379749;359828;41978;40170
31.12.2008;16-Jährige;388839;370552;43591;41172
31.12.2008;17-Jährige;406881;387133;43462;41096
31.12.2008;18-Jährige;452014;429103;45183;42920
31.12.2008;19-Jährige;446474;425894;47590;46001
31.12.2008;20-Jährige;461638;439079;51066;50606
31.12.2008;21-Jährige;452892;430258;52824;53535
31.12.2008;22-Jährige;445552;426562;54220;56063
31.12.2008;23-Jährige;430571;412647;57336;59882
31.12.2008;24-Jährige;429592;410514;60510;64492
31.12.2008;25-Jährige;432129;414155;64140;68292
31.12.2008;26-Jährige;441761;423048;69664;73874
31.12.2008;27-Jährige;436317;421687;72825;76833
31.12.2008;28-Jährige;437719;423067;77052;80222
31.12.2008;29-Jährige;414799;399372;76650;80586
31.12.2008;30-Jährige;408929;393913;77130;79738
31.12.2008;31-Jährige;404745;389953;77449;80335
31.12.2008;32-Jährige;396072;383969;79979;80405
31.12.2008;33-Jährige;384209;371091;81451;80919
31.12.2008;34-Jährige;390559;379423;81170;81231
31.12.2008;35-Jährige;398088;386083;79449;80097
31.12.2008;36-Jährige;446061;430915;80034;79771
31.12.2008;37-Jährige;504804;485786;78223;76789
31.12.2008;38-Jährige;530721;511106;80961;76314
31.12.2008;39-Jährige;580356;557298;78398;72289
31.12.2008;40-Jährige;614908;590811;75978;68858
31.12.2008;41-Jährige;637364;614310;70861;63244
31.12.2008;42-Jährige;657041;633517;71800;61898
31.12.2008;43-Jährige;663809;637415;72442;59955
31.12.2008;44-Jährige;677514;653970;69822;57382
31.12.2008;45-Jährige;675647;655100;66616;53563
31.12.2008;46-Jährige;655434;637817;61848;51086
31.12.2008;47-Jährige;648764;635316;54606;46776
31.12.2008;48-Jährige;625576;614929;57561;48989
31.12.2008;49-Jährige;609862;598222;51562;44772
31.12.2008;50-Jährige;577579;567447;49851;42725
31.12.2008;51-Jährige;565465;557805;47708;40851
31.12.2008;52-Jährige;547752;543045;48484;42674
31.12.2008;53-Jährige;531429;527520;44578;43646
31.12.2008;54-Jährige;521257;522583;40452;43620
31.12.2008;55-Jährige;505111;508886;36686;41934
31.12.2008;56-Jährige;504300;507796;37374;44600
31.12.2008;57-Jährige;493759;500179;36122;41221
31.12.2008;58-Jährige;490554;498579;41318;45892
31.12.2008;59-Jährige;472716;480337;41801;43051
31.12.2008;60-Jährige;429836;438649;42402;40764
31.12.2008;61-Jährige;399237;415118;42076;37715
31.12.2008;62-Jährige;345758;363072;38672;33102
31.12.2008;63-Jährige;301452;323550;34335;29838
31.12.2008;64-Jährige;413120;440664;32099;27272
31.12.2008;65-Jährige;419942;449994;30665;24567
31.12.2008;66-Jährige;403751;438390;31141;24150
31.12.2008;67-Jährige;491535;540101;28734;21694
31.12.2008;68-Jährige;510907;571097;29956;22564
31.12.2008;69-Jährige;496141;562841;26828;19559
31.12.2008;70-Jährige;455805;523815;24824;18787
31.12.2008;71-Jährige;418192;488710;21620;16718
31.12.2008;72-Jährige;397582;476059;18809;14873
31.12.2008;73-Jährige;375229;456921;15599;12946
31.12.2008;74-Jährige;337065;422152;15081;11469
31.12.2008;75-Jährige;260048;335944;13412;10684
31.12.2008;76-Jährige;250124;332289;10764;9471
31.12.2008;77-Jährige;244242;336149;9482;8262
31.12.2008;78-Jährige;244224;348536;8540;8640
31.12.2008;79-Jährige;223441;332348;6990;7498
31.12.2008;80-Jährige;208666;321386;6064;6607
31.12.2008;81-Jährige;175079;297223;5349;6474
31.12.2008;82-Jährige;150836;289288;4634;5755
31.12.2008;83-Jährige;130545;278441;4040;5471
31.12.2008;84-Jährige;102739;251532;3676;4931
31.12.2008;85 Jahre und mehr;446077;1295170;25282;35847
31.12.2008;Insgesamt;36509444;38306991;3674839;3511082
31.12.2009;unter 1 Jahr;324466;308141;16657;15887
31.12.2009;1-Jährige;334053;317780;18443;17520
31.12.2009;2-Jährige;336824;319216;17189;16281
31.12.2009;3-Jährige;331906;314379;16303;15052
31.12.2009;4-Jährige;337065;320151;16546;15749
31.12.2009;5-Jährige;343656;326479;19365;18231
31.12.2009;6-Jährige;343097;325624;20092;19211
31.12.2009;7-Jährige;348708;331034;21233;20108
31.12.2009;8-Jährige;356757;338638;22108;21055
31.12.2009;9-Jährige;370938;354544;23967;22882
31.12.2009;10-Jährige;359889;339989;38038;36443
31.12.2009;11-Jährige;366404;347798;39471;37638
31.12.2009;12-Jährige;378030;358749;40920;39143
31.12.2009;13-Jährige;372413;352392;40091;38436
31.12.2009;14-Jährige;360868;342204;38920;37463
31.12.2009;15-Jährige;365330;345774;40487;38530
31.12.2009;16-Jährige;380655;360975;41955;39839
31.12.2009;17-Jährige;389517;371590;43636;40771
31.12.2009;18-Jährige;408041;388470;44022;41483
31.12.2009;19-Jährige;453636;430883;46753;44725
31.12.2009;20-Jährige;447509;427266;50248;49455
31.12.2009;21-Jährige;462266;440072;54052;53953
31.12.2009;22-Jährige;453410;430739;55799;56517
31.12.2009;23-Jährige;445872;426924;57168;58377
31.12.2009;24-Jährige;430829;412825;59500;61676
31.12.2009;25-Jährige;429699;410431;62160;65534
31.12.2009;26-Jährige;432056;413764;64814;68713
31.12.2009;27-Jährige;441772;422754;69840;73669
31.12.2009;28-Jährige;436342;421641;72266;76456
31.12.2009;29-Jährige;437833;423135;76086;79455
31.12.2009;30-Jährige;415067;399439;75263;79602
31.12.2009;31-Jährige;409325;394318;75589;78475
31.12.2009;32-Jährige;405218;390461;75744;79135
31.12.2009;33-Jährige;396678;384575;78026;78998
31.12.2009;34-Jährige;384729;371792;79285;79538
31.12.2009;35-Jährige;391134;380167;78890;79741
31.12.2009;36-Jährige;398644;386673;77246;78825
31.12.2009;37-Jährige;446567;431441;77744;78522
31.12.2009;38-Jährige;505240;486179;75748;75312
31.12.2009;39-Jährige;530652;511348;78841;75158
31.12.2009;40-Jährige;580158;557443;76423;71180
31.12.2009;41-Jährige;614593;590848;74136;67910
31.12.2009;42-Jährige;636836;614120;68985;62184
31.12.2009;43-Jährige;656268;633140;69895;60950
31.12.2009;44-Jährige;662787;637063;70604;59057
31.12.2009;45-Jährige;676128;653403;68163;56571
31.12.2009;46-Jährige;674047;654391;64867;52898
31.12.2009;47-Jährige;653690;636935;60024;50435
31.12.2009;48-Jährige;646680;634388;52974;46234
31.12.2009;49-Jährige;623379;613857;55961;48285
31.12.2009;50-Jährige;607525;597019;50015;44296
31.12.2009;51-Jährige;575059;566232;48506;42267
31.12.2009;52-Jährige;562590;556424;46444;40399
31.12.2009;53-Jährige;544804;541525;47084;42331
31.12.2009;54-Jährige;528185;525879;43426;43197
31.12.2009;55-Jährige;517751;520944;39298;43000
31.12.2009;56-Jährige;501498;507119;35624;41379
31.12.2009;57-Jährige;500233;505860;36332;43960
31.12.2009;58-Jährige;489616;498032;35030;40580
31.12.2009;59-Jährige;485976;496370;40138;45172
31.12.2009;60-Jährige;467763;477854;40485;42190
31.12.2009;61-Jährige;425102;436247;41053;39891
31.12.2009;62-Jährige;394393;412591;40810;36914
31.12.2009;63-Jährige;341243;360687;37364;32416
31.12.2009;64-Jährige;297129;321198;33118;29146
31.12.2009;65-Jährige;406859;437354;30662;26597
31.12.2009;66-Jährige;413162;446210;29416;23826
31.12.2009;67-Jährige;396751;434473;29865;23491
31.12.2009;68-Jährige;482141;535033;27530;21038
31.12.2009;69-Jährige;500235;565172;28780;21914
31.12.2009;70-Jährige;484863;556416;25559;18964
31.12.2009;71-Jährige;444673;517251;23712;18194
31.12.2009;72-Jährige;406840;481819;20551;16138
31.12.2009;73-Jährige;385667;468515;17851;14359
31.12.2009;74-Jährige;362768;448593;14732;12459
31.12.2009;75-Jährige;324444;413574;14230;11017
31.12.2009;76-Jährige;249180;327808;12593;10264
31.12.2009;77-Jährige;238458;323375;10115;9081
31.12.2009;78-Jährige;231458;325691;8899;7912
31.12.2009;79-Jährige;230146;336167;7955;8249
31.12.2009;80-Jährige;208902;318885;6497;7133
31.12.2009;81-Jährige;193705;306473;5679;6294
31.12.2009;82-Jährige;161015;281523;5024;6138
31.12.2009;83-Jährige;137609;271641;4306;5436
31.12.2009;84-Jährige;117862;258842;3768;5163
31.12.2009;85 Jahre und mehr;467814;1335120;27538;38326
31.12.2009;Insgesamt;36471080;38200258;3632526;3498393
31.12.2010;unter 1 Jahr;330050;314624;17241;16318
31.12.2010;1-Jährige;325869;309403;18009;17333
31.12.2010;2-Jährige;334348;318063;19346;18361
31.12.2010;3-Jährige;336928;319395;17867;16998
31.12.2010;4-Jährige;331918;314421;16927;15701
31.12.2010;5-Jährige;337029;320129;17106;16237
31.12.2010;6-Jährige;343471;326237;19568;18493
31.12.2010;7-Jährige;343154;325679;20264;19488
31.12.2010;8-Jährige;349095;331278;21317;20289
31.12.2010;9-Jährige;357241;339082;22135;21053
31.12.2010;10-Jährige;371456;355028;23884;22961
31.12.2010;11-Jährige;360679;340694;37771;36245
31.12.2010;12-Jährige;367240;348625;39175;37289
31.12.2010;13-Jährige;378940;359659;40676;38843
31.12.2010;14-Jährige;373273;353259;39914;38125
31.12.2010;15-Jährige;361813;343127;38880;37249
31.12.2010;16-Jährige;366500;346928;40939;38501
31.12.2010;17-Jährige;381564;362119;42416;39652
31.12.2010;18-Jährige;390780;373154;44785;41462
31.12.2010;19-Jährige;409953;390554;46199;43819
31.12.2010;20-Jährige;454912;432526;50522;49139
31.12.2010;21-Jährige;448485;428410;54453;53986
31.12.2010;22-Jährige;462939;440892;58394;57794
31.12.2010;23-Jährige;453991;431451;60684;60180
31.12.2010;24-Jährige;446296;427280;61758;61899
31.12.2010;25-Jährige;431084;412758;63706;64348
31.12.2010;26-Jährige;429846;410171;65749;67853
31.12.2010;27-Jährige;432148;413604;67402;70512
31.12.2010;28-Jährige;441901;422823;72042;74966
31.12.2010;29-Jährige;436570;421867;74011;77225
31.12.2010;30-Jährige;438105;423475;77472;80047
31.12.2010;31-Jährige;415729;400061;76195;79683
31.12.2010;32-Jährige;409872;395162;76029;78601
31.12.2010;33-Jährige;405890;391323;76130;79014
31.12.2010;34-Jährige;397426;385435;78059;78858
31.12.2010;35-Jährige;385638;372680;79043;79231
31.12.2010;36-Jährige;391932;380995;78933;79318
31.12.2010;37-Jährige;399365;387316;76720;78332
31.12.2010;38-Jährige;447401;432087;77089;77975
31.12.2010;39-Jährige;505471;486723;75602;74993
31.12.2010;40-Jährige;530684;511737;78611;74842
31.12.2010;41-Jährige;580109;557751;76318;70904
31.12.2010;42-Jährige;614181;590920;73891;67539
31.12.2010;43-Jährige;636268;614189;68898;61917
31.12.2010;44-Jährige;655437;632962;69743;60674
31.12.2010;45-Jährige;661677;636764;70282;58807
31.12.2010;46-Jährige;674839;653000;67898;56414
31.12.2010;47-Jährige;672443;653595;64565;52706
31.12.2010;48-Jährige;651809;636147;59766;50230
31.12.2010;49-Jährige;644667;633390;52635;46091
31.12.2010;50-Jährige;621160;612704;55534;48117
31.12.2010;51-Jährige;604961;595772;49681;44164
31.12.2010;52-Jährige;572390;564994;48110;42139
31.12.2010;53-Jährige;559621;554906;46129;40252
31.12.2010;54-Jährige;541619;539994;46677;42051
31.12.2010;55-Jährige;524701;524248;42977;42950
31.12.2010;56-Jährige;514107;519149;38974;42675
31.12.2010;57-Jährige;497575;505302;35183;41028
31.12.2010;58-Jährige;496064;503834;35803;43658
31.12.2010;59-Jährige;485085;495908;34577;40217
31.12.2010;60-Jährige;481101;493940;39432;44533
31.12.2010;61-Jährige;462512;475248;39785;41614
31.12.2010;62-Jährige;420229;433556;40156;39296
31.12.2010;63-Jährige;389359;409940;39804;36335
31.12.2010;64-Jährige;336265;358133;36347;31852
31.12.2010;65-Jährige;292651;318677;31984;28422
31.12.2010;66-Jährige;400235;433737;29695;25999
31.12.2010;67-Jährige;405835;442299;28384;23266
31.12.2010;68-Jährige;389398;430357;28928;22947
31.12.2010;69-Jährige;472299;529617;26668;20513
31.12.2010;70-Jährige;488958;558764;27743;21433
31.12.2010;71-Jährige;473194;549577;24613;18509
31.12.2010;72-Jährige;432893;510185;22768;17795
31.12.2010;73-Jährige;395080;474384;19741;15713
31.12.2010;74-Jährige;373078;460199;17024;13971
31.12.2010;75-Jährige;349577;439527;14051;12063
31.12.2010;76-Jährige;311333;403902;13563;10614
31.12.2010;77-Jährige;237879;319045;11953;9889
31.12.2010;78-Jährige;226339;313370;9641;8734
31.12.2010;79-Jährige;218294;314286;8413;7618
31.12.2010;80-Jährige;215409;322955;7495;7910
31.12.2010;81-Jährige;194147;304430;6111;6854
31.12.2010;82-Jährige;178390;290511;5339;6032
31.12.2010;83-Jährige;147370;264652;4742;5828
31.12.2010;84-Jährige;124568;253002;4062;5160
31.12.2010;85 Jahre und mehr;501343;1379165;29884;41310
31.12.2010;Insgesamt;36443435;38109221;3668990;3529956
31.12.2011;unter 1 Jahr;321764;305963;15727;14878
31.12.2011;1-Jährige;333210;317529;14599;13898
31.12.2011;2-Jährige;329412;312495;14176;13496
31.12.2011;3-Jährige;338581;322079;14906;14125
31.12.2011;4-Jährige;339181;321371;14920;14276
31.12.2011;5-Jährige;332744;315154;15302;14138
31.12.2011;6-Jährige;337518;320721;14963;14066
31.12.2011;7-Jährige;344943;327824;17106;16080
31.12.2011;8-Jährige;345227;327825;17152;16440
31.12.2011;9-Jährige;352134;334058;17506;16425
31.12.2011;10-Jährige;361067;341584;18027;17093
31.12.2011;11-Jährige;375184;356588;20189;19220
31.12.2011;12-Jährige;362838;343167;34389;33145
31.12.2011;13-Jährige;369415;351317;35872;34155
31.12.2011;14-Jährige;380804;362338;37197;35505
31.12.2011;15-Jährige;374974;355627;36514;34792
31.12.2011;16-Jährige;363619;345414;35910;33708
31.12.2011;17-Jährige;367966;349404;37215;34803
31.12.2011;18-Jährige;382127;363878;38173;35300
31.12.2011;19-Jährige;390037;373451;38548;36486
31.12.2011;20-Jährige;407843;390092;41394;40299
31.12.2011;21-Jährige;452577;432334;45308;44661
31.12.2011;22-Jährige;445573;427750;48831;47874
31.12.2011;23-Jährige;460468;440202;52392;51886
31.12.2011;24-Jährige;452598;432291;54160;53544
31.12.2011;25-Jährige;444418;428037;54947;55356
31.12.2011;26-Jährige;427773;412287;56721;57734
31.12.2011;27-Jährige;427171;410600;58397;61046
31.12.2011;28-Jährige;429212;413411;60362;64000
31.12.2011;29-Jährige;438087;422565;64773;68510
31.12.2011;30-Jährige;431795;421068;66306;71471
31.12.2011;31-Jährige;429688;421411;69553;73986
31.12.2011;32-Jährige;408417;399573;68641;73714
31.12.2011;33-Jährige;402986;394553;69247;73377
31.12.2011;34-Jährige;399403;391040;70160;73565
31.12.2011;35-Jährige;389790;384161;70755;73957
31.12.2011;36-Jährige;378314;371486;71354;73769
31.12.2011;37-Jährige;384071;379525;72022;74790
31.12.2011;38-Jährige;391939;386094;69867;73473
31.12.2011;39-Jährige;434958;427538;69490;72093
31.12.2011;40-Jährige;491465;481715;67870;69683
31.12.2011;41-Jährige;513549;504724;68195;68450
31.12.2011;42-Jährige;563213;551105;66742;64721
31.12.2011;43-Jährige;597287;584610;64417;61590
31.12.2011;44-Jährige;621565;609483;59856;56390
31.12.2011;45-Jährige;642831;629789;60807;55885
31.12.2011;46-Jährige;648305;633305;60653;54370
31.12.2011;47-Jährige;663253;650725;58971;52135
31.12.2011;48-Jährige;661644;650818;55271;47869
31.12.2011;49-Jährige;641900;633522;50870;45837
31.12.2011;50-Jährige;636858;631327;44828;41451
31.12.2011;51-Jährige;613011;608804;45307;42370
31.12.2011;52-Jährige;600034;595963;41042;38329
31.12.2011;53-Jährige;565849;563538;39463;36497
31.12.2011;54-Jährige;552852;553470;38082;35005
31.12.2011;55-Jährige;534208;537900;38763;36444
31.12.2011;56-Jährige;517337;523001;35078;37429
31.12.2011;57-Jährige;506206;517328;31417;37421
31.12.2011;58-Jährige;489687;503218;28209;36214
31.12.2011;59-Jährige;487220;500934;29249;38329
31.12.2011;60-Jährige;477157;493624;28217;35129
31.12.2011;61-Jährige;471159;489255;33040;39499
31.12.2011;62-Jährige;454630;473242;33809;36937
31.12.2011;63-Jährige;411614;430137;34788;34892
31.12.2011;64-Jährige;381091;405921;34830;32599
31.12.2011;65-Jährige;328974;354491;31599;28659
31.12.2011;66-Jährige;284301;314567;27482;25128
31.12.2011;67-Jährige;389404;428807;26313;22895
31.12.2011;68-Jährige;394845;436760;24770;20325
31.12.2011;69-Jährige;377805;423378;24798;19443
31.12.2011;70-Jährige;458393;522580;22581;17376
31.12.2011;71-Jährige;473530;550022;23428;18099
31.12.2011;72-Jährige;458723;542624;20890;15605
31.12.2011;73-Jährige;418357;501679;18893;14352
31.12.2011;74-Jährige;380530;466061;16114;12707
31.12.2011;75-Jährige;356834;449232;13811;10770
31.12.2011;76-Jährige;333078;429248;11421;9162
31.12.2011;77-Jährige;295182;391984;10686;7933
31.12.2011;78-Jährige;224424;309014;9100;7270
31.12.2011;79-Jährige;212084;302345;7018;6376
31.12.2011;80-Jährige;203050;301329;5599;5215
31.12.2011;81-Jährige;198512;308517;4877;5169
31.12.2011;82-Jährige;178526;289289;3741;4282
31.12.2011;83-Jährige;161373;273037;3048;3814
31.12.2011;84-Jährige;131822;246396;2509;3326
31.12.2011;85 Jahre und mehr;495764;1413621;9162;17194
31.12.2011;Insgesamt;36039262;37946244;3190685;3151709
31.12.2012;unter 1 Jahr;329500;312669;16487;15755
31.12.2012;1-Jährige;323019;307197;18431;17201
31.12.2012;2-Jährige;333591;317856;16943;15920
31.12.2012;3-Jährige;329602;312723;16241;15434
31.12.2012;4-Jährige;338723;322176;16774;16000
31.12.2012;5-Jährige;339243;321461;16703;15916
31.12.2012;6-Jährige;332714;315119;16716;15375
31.12.2012;7-Jährige;337661;320848;16386;15360
31.12.2012;8-Jährige;345412;328196;18222;17111
31.12.2012;9-Jährige;345880;328379;18214;17393
31.12.2012;10-Jährige;352797;334569;18465;17331
31.12.2012;11-Jährige;361664;342118;18961;17966
31.12.2012;12-Jährige;375839;357215;21247;20118
31.12.2012;13-Jährige;363973;344276;34770;33486
31.12.2012;14-Jährige;370696;352377;36067;34417
31.12.2012;15-Jährige;382240;363561;37610;35670
31.12.2012;16-Jährige;376622;357111;37359;35088
31.12.2012;17-Jährige;365082;346790;36799;34052
31.12.2012;18-Jährige;369819;351228;39506;36498
31.12.2012;19-Jährige;385044;366397;42129;39500
31.12.2012;20-Jährige;391982;375496;44677;42674
31.12.2012;21-Jährige;409233;391646;48404;46764
31.12.2012;22-Jährige;453678;433582;53281;51661
31.12.2012;23-Jährige;446608;428718;57872;55652
31.12.2012;24-Jährige;461346;440878;61480;59049
31.12.2012;25-Jährige;453221;432644;62965;60299
31.12.2012;26-Jährige;444790;428208;63450;61536
31.12.2012;27-Jährige;428088;412614;64562;63201
31.12.2012;28-Jährige;427580;411009;65635;65738
31.12.2012;29-Jährige;429763;413964;66577;68035
31.12.2012;30-Jährige;438678;423249;70391;72019
31.12.2012;31-Jährige;432547;421920;71429;74559
31.12.2012;32-Jährige;430600;422578;73784;76677
31.12.2012;33-Jährige;409323;400783;72913;75865
31.12.2012;34-Jährige;404074;395794;72772;75171
31.12.2012;35-Jährige;400454;392124;73470;75370
31.12.2012;36-Jährige;390878;385178;73952;75559
31.12.2012;37-Jährige;379434;372465;74439;75426
31.12.2012;38-Jährige;385299;380444;74328;76220
31.12.2012;39-Jährige;392418;386985;72677;74896
31.12.2012;40-Jährige;435359;428303;72150;73479
31.12.2012;41-Jährige;491585;482300;70841;70828
31.12.2012;42-Jährige;513579;505121;70678;69750
31.12.2012;43-Jährige;563043;551457;69234;65707
31.12.2012;44-Jährige;596859;584789;66679;62782
31.12.2012;45-Jährige;620796;609429;61917;57585
31.12.2012;46-Jährige;641745;629574;62634;56831
31.12.2012;47-Jährige;647139;632774;62102;55230
31.12.2012;48-Jährige;661890;650072;60419;53026
31.12.2012;49-Jährige;659851;650051;56542;48594
31.12.2012;50-Jährige;639913;632551;52054;46581
31.12.2012;51-Jährige;634383;630303;46068;42077
31.12.2012;52-Jährige;610366;607657;46389;42948
31.12.2012;53-Jährige;597259;594546;41885;38849
31.12.2012;54-Jährige;562898;562156;40144;36907
31.12.2012;55-Jährige;549526;551881;38823;35484
31.12.2012;56-Jährige;530665;536151;39301;36742
31.12.2012;57-Jährige;513559;521137;35409;37564
31.12.2012;58-Jährige;502112;515370;31588;37511
31.12.2012;59-Jährige;485229;501043;28260;36264
31.12.2012;60-Jährige;482517;498536;29049;38155
31.12.2012;61-Jährige;472115;491040;28045;34967
31.12.2012;62-Jährige;465715;486408;32806;39238
31.12.2012;63-Jährige;448899;470368;33207;36625
31.12.2012;64-Jährige;405970;427127;34233;34584
31.12.2012;65-Jährige;375498;402878;34030;32163
31.12.2012;66-Jährige;323667;351491;30777;28320
31.12.2012;67-Jährige;279518;311742;26811;24803
31.12.2012;68-Jährige;382105;424612;25654;22581
31.12.2012;69-Jährige;386916;432344;24177;20028
31.12.2012;70-Jährige;369767;418641;24103;19135
31.12.2012;71-Jährige;447782;516083;21895;17096
31.12.2012;72-Jährige;461523;542580;22729;17782
31.12.2012;73-Jährige;445788;534664;20155;15317
31.12.2012;74-Jährige;405601;493354;18181;14096
31.12.2012;75-Jährige;367604;457380;15463;12383
31.12.2012;76-Jährige;343381;439469;13245;10483
31.12.2012;77-Jährige;318936;418507;10867;8898
31.12.2012;78-Jährige;281190;380763;10155;7695
31.12.2012;79-Jährige;212316;298708;8622;6984
31.12.2012;80-Jährige;199162;290803;6629;6138
31.12.2012;81-Jährige;189108;288254;5220;4981
31.12.2012;82-Jährige;183423;292946;4570;4937
31.12.2012;83-Jährige;163232;272596;3481;4108
31.12.2012;84-Jährige;146163;254660;2805;3616
31.12.2012;85 Jahre und mehr;532761;1437355;10334;18437
31.12.2012;Insgesamt;36017528;37862519;3363448;3280251
31.12.2013;unter 1 Jahr;330416;313903;19866;18885
31.12.2013;1-Jährige;331224;314270;19844;18999
31.12.2013;2-Jährige;323287;307540;21419;20078
31.12.2013;3-Jährige;333783;318037;19695;18596
31.12.2013;4-Jährige;329750;312915;19017;17968
31.12.2013;5-Jährige;338849;322293;19302;18563
31.12.2013;6-Jährige;339182;321375;18835;17945
31.12.2013;7-Jährige;332882;315261;18771;17406
31.12.2013;8-Jährige;338004;321217;18191;17145
31.12.2013;9-Jährige;346054;328744;19810;18731
31.12.2013;10-Jährige;346432;328965;19808;18849
31.12.2013;11-Jährige;353291;335014;20070;18791
31.12.2013;12-Jährige;362187;342580;20507;19402
31.12.2013;13-Jährige;376415;357752;22697;21422
31.12.2013;14-Jährige;365067;345244;35683;34204
31.12.2013;15-Jährige;371988;353452;36992;35175
31.12.2013;16-Jährige;383862;364966;39010;36452
31.12.2013;17-Jährige;378118;358500;38829;35753
31.12.2013;18-Jährige;366844;348357;41309;36780
31.12.2013;19-Jährige;372592;353624;46266;41628
31.12.2013;20-Jährige;386897;368200;49970;47051
31.12.2013;21-Jährige;393488;376867;53079;50046
31.12.2013;22-Jährige;410402;392814;57463;54040
31.12.2013;23-Jährige;454444;434299;64280;60183
31.12.2013;24-Jährige;447369;429351;68132;63656
31.12.2013;25-Jährige;461799;441073;71829;66632
31.12.2013;26-Jährige;453488;432867;72598;66900
31.12.2013;27-Jährige;445031;428415;72445;67529
31.12.2013;28-Jährige;428418;412965;72946;68631
31.12.2013;29-Jährige;427948;411554;72870;70488
31.12.2013;30-Jährige;430205;414567;73050;72111
31.12.2013;31-Jährige;439212;424226;75998;75713
31.12.2013;32-Jährige;433311;422922;76266;77557
31.12.2013;33-Jährige;431552;423742;78645;79339
31.12.2013;34-Jährige;410233;402047;76998;78275
31.12.2013;35-Jährige;405063;397036;76509;77438
31.12.2013;36-Jährige;401264;393271;77313;77299
31.12.2013;37-Jährige;391885;386268;77133;77442
31.12.2013;38-Jährige;380597;373444;77224;77186
31.12.2013;39-Jährige;385760;381479;77678;77816
31.12.2013;40-Jährige;392592;387795;75581;76533
31.12.2013;41-Jährige;435548;429009;75091;75010
31.12.2013;42-Jährige;491620;482831;73525;72228
31.12.2013;43-Jährige;513370;505638;73270;71058
31.12.2013;44-Jährige;562676;551764;71558;67202
31.12.2013;45-Jährige;596234;584938;69113;64085
31.12.2013;46-Jährige;619887;609397;64038;58727
31.12.2013;47-Jährige;640708;629216;64140;57788
31.12.2013;48-Jährige;645731;632232;63651;56196
31.12.2013;49-Jährige;660223;649447;61910;53933
31.12.2013;50-Jährige;657867;649277;57749;49553
31.12.2013;51-Jährige;637662;631583;53180;47282
31.12.2013;52-Jährige;631779;629028;47061;42857
31.12.2013;53-Jährige;607643;606302;47151;43598
31.12.2013;54-Jährige;594128;593044;42653;39461
31.12.2013;55-Jährige;559575;560538;40635;37473
31.12.2013;56-Jährige;545949;550030;39225;35905
31.12.2013;57-Jährige;526884;534228;39608;37044
31.12.2013;58-Jährige;509364;519076;35537;37806
31.12.2013;59-Jährige;497555;513141;31638;37681
31.12.2013;60-Jährige;480512;498632;28192;36304
31.12.2013;61-Jährige;477311;495981;28870;38015
31.12.2013;62-Jährige;466745;488302;27879;34841
31.12.2013;63-Jährige;459946;483242;32307;38987
31.12.2013;64-Jährige;442824;467096;32621;36343
31.12.2013;65-Jährige;400122;423830;33326;34093
31.12.2013;66-Jährige;369460;399567;33121;31635
31.12.2013;67-Jährige;317958;348220;30086;27966
31.12.2013;68-Jährige;274131;308660;26153;24414
31.12.2013;69-Jährige;374338;420022;25055;22238
31.12.2013;70-Jährige;378526;427405;23489;19707
31.12.2013;71-Jährige;361057;413358;23466;18827
31.12.2013;72-Jährige;436354;509106;21205;16782
31.12.2013;73-Jährige;448651;534573;21966;17415
31.12.2013;74-Jährige;432185;525725;19459;15064
31.12.2013;75-Jährige;392022;484359;17492;13767
31.12.2013;76-Jährige;353850;447617;14833;12050
31.12.2013;77-Jährige;328949;428607;12681;10226
31.12.2013;78-Jährige;303989;406598;10328;8667
31.12.2013;79-Jährige;266348;368245;9658;7449
31.12.2013;80-Jährige;199536;287267;8103;6741
31.12.2013;81-Jährige;185891;278223;6212;5893
31.12.2013;82-Jährige;174882;273771;4866;4785
31.12.2013;83-Jährige;167651;275911;4183;4705
31.12.2013;84-Jährige;147597;254426;3184;3882
31.12.2013;85 Jahre und mehr;575442;1461689;11662;19858
31.12.2013;Insgesamt;35981865;37770362;3575058;3440178
31.12.2014;unter 1 Jahr;339249;322145;28314;26711
31.12.2014;1-Jährige;332238;315608;24777;23292
31.12.2014;2-Jährige;331741;314673;24575;23380
31.12.2014;3-Jährige;323525;307827;25673;24084
31.12.2014;4-Jährige;334039;318286;23809;22465
31.12.2014;5-Jährige;329993;312964;23130;21764
31.12.2014;6-Jährige;338862;322298;23037;21983
31.12.2014;7-Jährige;339365;321517;22287;21165
31.12.2014;8-Jährige;333378;315667;22034;20411
31.12.2014;9-Jährige;338602;321822;21276;19923
31.12.2014;10-Jährige;346609;329319;22797;21297
31.12.2014;11-Jährige;347045;329527;22567;21383
